kalibracja_20_96_5_uW_1.ptu	 	 	kalibracja_20_96_5_uW_2.ptu	 	 	kalibracja_20_96_5_uW_3.ptu	 	 	kalibracja_20_96_5_uW_4.ptu	 	 	kalibracja_20_96_5_uW_5.ptu	 	 	kalibracja_20_96_5_uW_6.ptu	 	 	kalibracja_20_96_5_uW_7.ptu	 	 	kalibracja_20_96_5_uW_8.ptu	 	 	kalibracja_20_96_5_uW_9.ptu	 	 	kalibracja_20_96_5_uW_10.ptu	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.0001374994500022	2.66868801521679	0.475279600014865	0.0001374994500022	2.16339788606843	0.787868456045319	0.0001374994500022	1.43067113563437	0.535544266543373	0.0001374994500022	1.44258826533172	0.605186548889109	0.0001374994500022	0.834622299257702	0.82909748409517	0.0001374994500022	0.940481302732113	0.883673967904708	0.0001374994500022	2.02198173632403	0.517635932905921	0.0001374994500022	3.47042364896132	0.754095659217748	0.0001374994500022	1.57714881666128	0.623215326497125	0.0001374994500022	0.732841219402118	0.622833811598447
0.0001624993500026	1.44233288390615	0.493710999181039	0.0001624993500026	1.65469634968262	0.590612626321449	0.0001624993500026	0.684324196434829	0.698870162524124	0.0001624993500026	2.55540216120925	0.70734858833058	0.0001624993500026	1.15530582588463	0.467311446615145	0.0001624993500026	1.0693588338564	0.650234426357371	0.0001624993500026	2.20784124822452	0.382767610373361	0.0001624993500026	3.40168529621262	0.943476436092182	0.0001624993500026	1.94748066383019	0.699949938731419	0.0001624993500026	2.22223720960589	0.52561962341242
0.000187499250003	2.54287570856824	0.509233186154923	0.000187499250003	1.48319916470268	0.449864441442646	0.000187499250003	0.943955703596237	0.842404825943334	0.000187499250003	2.17789941506898	1.26413291025759	0.000187499250003	1.54319731275358	0.312012588738542	0.000187499250003	2.29320071661269	0.790532595326702	0.000187499250003	2.09423052085223	0.679678420740327	0.000187499250003	2.14554630167588	0.90273684402963	0.000187499250003	1.40435512632718	0.622771828473301	0.000187499250003	1.86926279503157	0.678849967115634
0.0002124991500034	1.65034987264723	0.891707958301559	0.0002124991500034	0.0394702225378409	0.298532274606349	0.0002124991500034	1.08850364094144	0.586927611377722	0.0002124991500034	1.45237874371009	0.694891925796274	0.0002124991500034	2.48045533459016	0.643814022569385	0.0002124991500034	1.21470684981418	0.72436103220055	0.0002124991500034	2.29416959773466	0.862107332059986	0.0002124991500034	2.23787851188394	0.808575218039654	0.0002124991500034	1.23693408032859	0.55351077267357	0.0002124991500034	1.74734276584435	0.757304773491553
0.0002374990500038	1.74218083050289	0.482557823545079	0.0002374990500038	1.60183217886634	0.388549504582902	0.0002374990500038	2.7704409460566	0.659632032521082	0.0002374990500038	1.67383822821983	0.559689773554172	0.0002374990500038	2.90850574427959	0.537564810868685	0.0002374990500038	1.72637830229369	0.434029910983624	0.0002374990500038	2.71652124163682	0.725628747205447	0.0002374990500038	1.4300292315159	1.10899637511438	0.0002374990500038	1.07574770884732	0.443466076879069	0.0002374990500038	2.22506382211372	0.785528993883303
0.0002624989500042	0.961004057763067	0.380575733716613	0.0002624989500042	1.76254286039059	0.553217291017496	0.0002624989500042	2.15382331427375	0.604963525760361	0.0002624989500042	2.39086282002948	0.516949453012774	0.0002624989500042	1.71191750417455	0.384716592040153	0.0002624989500042	2.41715907088186	0.636460036531063	0.0002624989500042	1.92790725166714	0.702978658440058	0.0002624989500042	1.50607460437882	0.594654928652213	0.0002624989500042	2.0480925671855	0.757640685615925	0.0002624989500042	0.962904334080317	0.571691830654358
0.0002874988500046	1.02295998156003	0.437943948301304	0.0002874988500046	1.49054609308874	0.467402536695995	0.0002874988500046	1.38508464824561	0.256812600070026	0.0002874988500046	1.28275844078395	0.480643325057087	0.0002874988500046	1.82706545601139	0.609846867025424	0.0002874988500046	2.96181757044415	0.437195243566414	0.0002874988500046	2.02980914106773	0.557134169398878	0.0002874988500046	2.10739579438381	0.720100680542547	0.0002874988500046	1.78622831318897	0.553608953120087	0.0002874988500046	2.18460371792517	0.813929958289548
0.000312498750005	0.835777581262727	0.50537701130739	0.000312498750005	2.11233963417828	0.536347316358244	0.000312498750005	1.60002468935453	0.701442626720074	0.000312498750005	2.29436758110102	0.691264208519876	0.000312498750005	1.6904798058854	0.689668197939097	0.000312498750005	2.223224629917	0.788189346939392	0.000312498750005	1.55805516532878	0.462037450743945	0.000312498750005	1.86571217802142	0.725015690188948	0.000312498750005	1.30938599143193	0.718263357680492	0.000312498750005	2.72216354029129	0.744266149037255
0.0003374986500054	2.12040806433956	0.699519587999322	0.0003374986500054	2.04241175871493	0.314153013929382	0.0003374986500054	1.99287478793126	0.396364561369877	0.0003374986500054	0.638072175501615	0.469905709229	0.0003374986500054	1.08702567115693	0.275112068370474	0.0003374986500054	1.46667590780255	0.710014744020507	0.0003374986500054	1.32773024306165	0.441059526438117	0.0003374986500054	2.15953409166689	0.706865317337922	0.0003374986500054	1.99238152546491	1.04237730503427	0.0003374986500054	2.04935305521222	0.698825451514283
0.0003624985500058	1.69402178086828	0.47189179892714	0.0003624985500058	1.41039715895282	0.404148139781108	0.0003624985500058	2.19178243660196	0.746157292534003	0.0003624985500058	1.11270301645505	0.33647072903551	0.0003624985500058	2.13282343052682	0.673758517420842	0.0003624985500058	0.761074355051213	0.557724476191788	0.0003624985500058	1.7800927146429	0.813073597126368	0.0003624985500058	2.50871367926601	0.398471903550422	0.0003624985500058	2.51195345511834	0.68112616950018	0.0003624985500058	3.1936644682354	0.643324667005187
0.0003874984500062	1.26843124126449	0.375399113149663	0.0003874984500062	0.829334018626134	0.410376446531832	0.0003874984500062	1.5389621194197	0.51312760041112	0.0003874984500062	1.67984619390195	0.708578506906179	0.0003874984500062	2.11756767663688	0.634025582397091	0.0003874984500062	1.01132256033179	0.564120736561476	0.0003874984500062	2.00156731593458	0.38497913019375	0.0003874984500062	1.93396293106557	0.544637559692271	0.0003874984500062	0.758735806428838	0.643010155448951	0.0003874984500062	0.830530237297588	0.768563965694147
